"GENDER AND WOMENS STUDIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"624
Afr Am Women's Activism 19-20C","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Capstone Smr in Gender & Wm St","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677
Perspctv-Black Women Writng","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis I","Course Total","","3","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis I","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699
Directed Study","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"720","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"720","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"720","003","","14","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"720","004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Gender&Wmn","Course Total","","30","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research & Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"880
Grad Study-Gen & Women's Study","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999
Independent Research","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
