"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"742","005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","Course Total","","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","005","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","","34","3.985","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Spec Hlth Nd","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","004","","47","3.915","89.4","4.3","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","005","","51","3.922","88.2","7.8","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","180","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","193","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","215","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","218","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","225","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","285","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elective Pharm Pract Clkshp","Course Total","","109","3.922","89.0","6.4","4.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"764
Vet Pharmacy Clerkship","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"769","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"769","153","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Rsrch & Pharm Investig","Course Total","","2","***","","","","","","","","","","","","","","","",""
"961
Grad Sem Hlth-System Pharmacy","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999
Advanced Independent Study","028","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
