"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","96","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","90","3.100","13.3","17.8","52.2","11.1","4.4","1.1",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","90","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","90","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"638
Veterinary Diagnostic Imaging","001","","90","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"642
Large Animal Surgery","001","","40","3.842","22.5",".",".",".",".","2.5",".","75.0",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","24","4.000","45.8",".",".",".",".",".",".","41.7",".",".",".",".",".",".","12.5","."
"645","001","","38","4.000","73.7",".",".",".",".",".",".","15.8",".",".",".",".",".",".","10.5","."
"645","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","41","4.000","73.2",".",".",".",".",".",".","17.1",".",".",".",".",".",".","9.8","."
"646
Veterinary Anesthesiology","001","","38","4.000","81.6",".",".",".",".",".",".","15.8",".",".",".",".","2.6",".",".","."
"647
Radiology Clinics","001","","36","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"675","003","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","008","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","023","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","83","4.000","39.8",".",".",".",".",".",".","60.2",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","131","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","136","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","148","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710","001","","16","4.000","62.5",".",".",".",".",".",".","25.0",".",".",".",".",".",".","12.5","."
"710","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Species Rotation","Course Total","","17","4.000","58.8",".",".",".",".",".",".","29.4",".",".",".",".",".",".","11.8","."
"711","001","","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"711","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Wildlife Medicine Rotation","Course Total","","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"712
Zoological Medicine Rotation","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"714
SA Radiation Oncology","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","26","4.000","57.7",".",".",".",".",".",".","38.5",".",".",".",".","3.8",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"748
Dentistry & Oral Surg Rotation","001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"750
Sm Animal Ultrasound Elective","001","","26","4.000","76.9",".",".",".",".",".",".","23.1",".",".",".",".",".",".",".","."
