"TERM : 1232","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2022-2023","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","MEDICAL SCIENCES - MED SCH","Section
#","Ave","A","","AB","","B","","BC","","C","","D","","F","","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"622","MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622","MED SC-M","797
Dept. Total","","",".","",".","",".","",".","",".","",".","",".","94.0","0.1","3.3","",".","",".","0.3",".",".","2.4"
"Summary by Level","","#","Ave","A","","AB","","B","","BC","","C","","D","","F","","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"622","MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","4","***","","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
