"","REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","",""
"","465","003","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Inst for Stdt with Dis","","Course Total","","61","3.822","72.1","14.8","9.8",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Diversity in Special Education","466","001","","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"Elem Stdt Teaching Seminar","467","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary Student Teaching Smr","468","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Practicum: Early Child-Elem","475","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Student Teaching: PK - Gr 9","477","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Student Teaching: Gr. 4-12","478","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500","001","","35","3.829","80.0","11.4","5.7",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501","001","","18","3.861","83.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","505","001","","26","3.900","88.5","3.8",".",".","3.8",".",".",".",".",".",".",".","3.8",".",".","."
"","505","002","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","","Course Total","","66","3.962","95.5","1.5",".",".","1.5",".",".",".",".",".",".",".","1.5",".",".","."
"Strategy-Inclusive Schoolng","506","001","","14","3.385","57.1",".","14.3",".","21.4",".",".",".",".",".",".",".","7.1",".",".","."
"Access to General Curriculum","515","001","","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education Foundations","605","001","","30","3.950","93.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630","020","","18","3.836","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","630","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","","Course Total","","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","660","083","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research or Thesis","690","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Multiculturl Issues-Special Ed","710","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Counseling Orient","730","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Foundations","732","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field II","789","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Reh Cnslg-Cnslg Technique","810","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Cnslg Theory","820","001","","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Diag & Treat","830","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Group Cnslg","840","001","","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Rehab Cnsl Psych-Clin Prac","860","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations of Spec Education","871","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","890","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Pract II","","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reh Coun Ed-Psychsoc Thry&Rsch","903","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Internship","910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2023","","","","","","","","","","","","","","","","","","","","","Page 81 of 467"
