"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","95","3.415","34.7","32.6","20.0","7.4","3.2",".","1.1","1.1",".",".",".",".",".",".",".","."
"Amer Soc: How It Really Works","125","002","137","2.951","16.1","21.2","27.7","14.6","9.5","7.3",".",".",".",".",".",".","1.5","0.7","1.5","."
"Criminal Justice in America","131","001","161","2.915","9.9","17.4","38.5","18.0","12.4","1.9","0.6",".",".",".",".",".",".",".","1.2","."
"","134","001","167","3.534","48.5","27.5","11.4","6.6","3.0",".","1.2","0.6",".",".",".",".","1.2",".",".","."
"","134","002","187","3.385","42.2","26.2","17.6","4.8","5.3","2.1","1.6",".",".",".",".",".",".",".",".","."
"","134","003","267","3.601","62.9","16.5","9.7","5.6","3.4","0.7","1.1",".",".",".",".",".",".",".",".","."
"","134","004","83","3.620","60.2","20.5","10.8","4.8","2.4",".","1.2",".",".",".",".",".",".",".",".","."
"","134","005","14","3.636","28.6","42.9","7.1",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"Soc of Race & Ethnicity in US","","Course Total","718","3.531","53.2","22.6","12.3","5.4","3.6","0.8","1.3","0.1",".",".",".",".","0.7",".",".","."
"The Sociology of Gender","138","002","98","3.546","40.8","40.8","12.2","1.0","4.1","1.0",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","37","3.662","64.9","24.3","5.4",".","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160","001","58","3.422","69.0","6.9","6.9","1.7","6.9","3.4","5.2",".",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","001","28","3.519","46.4","21.4","17.9","7.1","3.6",".",".",".",".",".",".",".",".",".","3.6","."
"Intercultural Dialogues","205","001","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","60","3.149","31.7","28.3","15.0","10.0",".","3.3","6.7",".",".",".",".",".","5.0",".",".","."
"","211","002","43","3.640","48.8","34.9","11.6","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","211","003","39","3.410","35.9","33.3","20.5","7.7",".",".","2.6",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","","Course Total","82","3.530","42.7","34.1","15.9","6.1",".",".","1.2",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","70","3.529","48.6","27.1","12.9","5.7","2.9",".","1.4","1.4",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","17","3.647","41.2","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320","035","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","092","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","9","3.368","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","12","3.583","75.0","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Labor in Global Food Systems","341","001","13","3.818","61.5","15.4","7.7",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Sociology of Health & Medicine","343","001","27","3.852","88.9",".","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","63","3.605","58.7","20.6","7.9","3.2","7.9",".",".",".",".",".",".",".","1.6",".",".","."
"Stats for Sociologists I","360","001","69","3.672","60.9","14.5","7.2","8.7","1.4",".",".",".",".",".",".",".","5.8","1.4",".","."
"Stats for Sociologists II","361","001","27","3.080","25.9","11.1","25.9","18.5","7.4","3.7",".",".",".",".",".",".","7.4",".",".","."
"Processes-Deviant Behavior","421","001","36","3.167","41.7","13.9","19.4","8.3","5.6","11.1",".",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Crime, Gender and Justice","425","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnicity, Race, and Justice","440","001","20","3.553","45.0","25.0","20.0",".","5.0",".",".",".",".",".",".",".","5.0",".",".","."
