"MEDICAL HISTORY AND BIOETHI Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"275
001
Sci, Med, & Race: A History","","40","3.613","55.0","35.0",".","7.5",".",".","2.5",".",".",".",".",".",".",".",".","."
"545
001
Eth & Reg Iss-Clin Investigatn","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"729
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"729
101","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Course Total
Introduction to Bioethics","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"740
008
Narrative Med & Public Health","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"742
006
Ethics & U.S. Health Policy","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"750
001
Migration and Global Health","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"MED HIST
Dept. Total
452","","101","3.605","22.8","14.9","2.0","3.0",".",".","1.0","56.4",".",".",".",".",".",".",".","."
