"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biomedical Engineering Design","001","","98","3.878","78.6","18.4","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
Biomedical Engineering Design","001","","136","3.901","83.8","13.2","2.2","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"310
Bioinstrumentation","001","","27","3.722","74.1","3.7","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"315
Biomechanics","001","","87","3.770","65.5","28.7","3.4","1.1",".","1.1",".",".",".",".",".",".",".",".",".","."
"330
Eng Prin Mol, Cells, Tissues","001","","51","3.588","45.1","39.2","13.7",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"389","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","097","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","099","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","118","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","121","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","133","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","148","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","150","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","151","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","153","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","154","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","58","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"400
Capstone Design Course","001","","131","3.939","93.1","6.1",".",".",".",".","0.8",".",".",".",".",".",".",".",".","."
"414
Orthopaedic Biomechanics","001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"415
Biomechanics of Human Movement","001","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
