"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"501
Radiation Physics & Dosimetry","002","","25","3.380","20.0","44.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"510
Cell Mol & Radiat Biol","001","","22","3.643","59.1","4.5","31.8",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"535
Intro to Energy-Tissue Interac","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"569
Health Phys and Bio Effects","001","","19","3.737","68.4","10.5","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"573
Med Img Sci:Math & Cncpt Fndtn","001","","26","3.519","34.6","38.5","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"581
Lab for Med Imag w Ionizng Rad","002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Neuroimaging Methods","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"665
Rad Lab:CT,MRI,&DSA Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"666
Rad Lab-Med Ultrasound Phys","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"671","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"671","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Medical Physics","Course Total","","29","3.953","93.1","3.4",".",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"679
Radiation Physics Metrology","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".",".",".","11.8","."
"701
Ethics in Medical Physics","001","","26","4.000","96.2",".",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"705
Women and Leadership","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Adv in Med Magnet Resonance","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"772
Adv Radiation Treatment Planng","001","","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"777
X-ray Computed Tomography","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"778
Machine Learning Ultrason Imag","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Journal Club and Seminar","Course Total","","40","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
