"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"","699
065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","812
041","","11","3.500","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
042","","9","3.389","11.1","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
043","","14","3.500","21.4","57.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
044","","14","3.393",".","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
045","","13","3.577","15.4","84.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
046","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","73","3.514","20.5","61.6","17.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SpecAdultPsychClerk-Mendota","923
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-Mendota","924
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PSYCHIAT
814","Dept. Total","","78","3.533","25.6","57.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
