"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"719","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"719","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"719","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"719","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","18","4.000","27.8",".",".",".",".",".",".","72.2",".",".",".",".",".",".",".","."
"721
Adv Med-Surgical Nursing","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Hlth-Women Across Lifespan","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"747","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"747","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-A Functional Area","Course Total","","7","4.000","28.6",".",".",".",".",".",".","57.1",".",".",".",".","14.3",".",".","."
"753
Adv Prac Nurs-Com Mentl Disord","001","","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"761
Health Prgm Planning, Eval, QI","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"771
Instr Process-Nursing Educ","001","","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"798","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","068","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"798","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research Practicum","Course Total","","12","4.000","41.7",".",".",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"799","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"802
Ethics & Conduct of Research","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"881
Capstone Smr in Prevention Sci","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
