"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Gastrointestnl Pharmacother","722
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","740
005","21","3.667","57.1","23.8","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","740
006","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","34","3.765","67.6","20.6","8.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","741
005","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
006","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
105","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","35","3.957","94.3","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
005","72","3.903","84.7","12.5","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","760
006","69","3.826","84.1","5.8","4.3","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","760
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
105","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
106","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","148","3.841","84.5","8.8","2.7","2.0","1.4",".","0.7",".",".",".",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
027","7","3.750","14.3","14.3",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"PHM PRAC
728","Dept. Total","1277","3.587","55.2","21.1","15.3","5.1","2.2","0.2","0.3","0.5",".",".",".",".","0.1",".",".","."
