"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"200
Race,Ethnicty&Inequal-Am Ed","001","","37","3.068","8.1","29.7","43.2","16.2",".",".","2.7",".",".",".",".",".",".",".",".","."
"300","001","","30","3.621","40.0","40.0","16.7",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"300","002","","33","3.938","84.8","12.1",".",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"300","003","","30","3.259","43.3","20.0","16.7","3.3","3.3","6.7","3.3","3.3",".",".",".",".",".",".",".","."
"School and Society","Course Total","","93","3.617","57.0","23.7","10.8","1.1","1.1","2.2","1.1","3.2",".",".",".",".",".",".",".","."
"399
Independent Reading","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"412
History-American Education","001","","36","3.458","44.4","22.2","22.2","2.8","8.3",".",".",".",".",".",".",".",".",".",".","."
"479
Paideia:Ed in Westrn Cultur","001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"516
Religion and Public Education","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Modern Philosophies of Ed","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"567
History of African-Amer Educ","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","002","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Educ Pol","Course Total","","21","3.927","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"635
The Sociol of School Org","001","","16","3.607","50.0","18.8","6.3","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"665
Hist of Fed Role in Amer Educ","001","","10","3.889","70.0","20.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"740
Classics in Education","001","","9","3.625","33.3","44.4","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"750
African Ed-Past,Pres&Future","001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","19","3.912","73.7","15.8",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"780
Special Topics in Educ Policy","001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"830
Financng Elem&Secondry Educ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"903
Hist of Educ-Multiculturl Amer","001","","9","3.813","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"908
Smr-Sociology of Education","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","32","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 92 of 407"
