"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.938","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"404
Pathophys Princ-Hum Disease","001","","312","3.152","17.3","31.1","27.9","16.3","3.8","2.9",".","0.6",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Quality Assurance Basics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Quality Assurance Projects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"653
Method Validation Basics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"654
Method Validation Projects","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Quality Control Basics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"656
Quality Control Projects","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"657
Quality Planning Basics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"658
Quality Planning Projects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"750
Cellulr & Moleclr Biol/Path","001","","63","3.363","30.2","19.0","44.4","1.6","3.2",".",".","1.6",".",".",".",".",".",".",".","."
"901
Journal Club","001","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 363 of 407",""
