"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"812","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","061","","18","3.611","27.8","66.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","20","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","20","3.625","30.0","65.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","78","3.650","34.6","59.0","5.1",".",".",".",".",".",".",".",".",".",".",".",".","1.3"
"910
Indep Rdg & Rsch-4th Yr Med","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"930
Peds Sub-Intrn Newborn-Milw","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950
Ped Endocr/DiabetesClrk-CSC","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematol-Oncology Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"965
Pediatric Neurol Clerk-CSC","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","","6","3.600","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"967
Ped Pulmon/Allergy Clrk-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990
Research","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PEDIAT
708","Dept. Total","","96","3.660","40.6","51.0","7.3",".",".",".",".",".",".",".",".",".",".",".",".","1.0"
