"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"","799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Iss: Diversity&Multicultr","805","001","","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Com Dis Medical Setting","813","001","","20","3.977","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Deviant Phonologal Acquistn","819","001","","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Probs-Schl Age Chldrn","840","001","","23","3.761","65.2","26.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Sci II: Adv Topics","851","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems I","856","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab in Amplification Systems I","857","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiolog Assess Audiology I","858","001","","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab-Physiol Assess Aud Sys I","859","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory & Vestibular Path II","862","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Implantbl Auditory Prostheses","863","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Processing Disorders","864","001","","15","3.893","73.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Practice Management","865","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems II","866","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology I","891","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology II","892","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology III","893","001","","6","3.955","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Study in Audiology","","Course Total","","6","3.923","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Pathology-Children","940","001","","10","3.957","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Pathology-Adults","942","001","","14","3.846","71.4","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","15","",".",".",".",".",".",".",".","93.3",".",".",".","6.7",".",".",".","."
"","999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","","Course Total","","4","***","","","","","","","","","","","","","","","",""
