"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","291","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","292","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","293","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"910
Indep Rdg & Rsch-4th Yr Med","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","","3","***","","","","","","","","","","","","","","","",""
