"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"","812
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
002","","6","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
005","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
010","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
013","","9","3.556","11.1","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","69","3.674","40.6","53.6","5.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","919
014","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","919
015","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","919
016","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","919
017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
018","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","45","3.956","91.1","8.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
