"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","","","","","",""
"","699
029","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
030","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
071","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","Course Total","8","4.000","12.5",".",".",".",".","",".","",".","87.5","",".",".","",".","",".",".",".",".","."
"Infection and Immunity II","702
001","146","3.538","34.2","46.6","13.0","4.8","1.4",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Gastrointestinal/Hepatic Sys","707
001","146","3.812","71.2","20.5","7.5","0.7",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Renal","709
041","150","3.370","39.3","6.0","46.0","6.7","2.0",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Male/Female Endocrine Sys","711
001","148","3.794","78.4","6.1","13.5",".","2.0",".","",".","",".",".","",".",".","",".","",".",".",".","."
"","716
001","148","3.385","21.6","43.9","27.0","4.7","2.7",".","",".","",".",".","",".",".","",".","",".",".",".","."
"","716
082","152","3.303","19.7","38.2","28.9","9.2","3.9",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Psychiatry","Course Total","300","3.357","20.7","41.0","28.0","7.0","3.3","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Smr-Contemp Iss:Health Care","719
001","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Pharmacology II","727
001","144","3.738","64.6","17.4","17.4",".",".",".","",".","",".",".","",".",".","",".","","0.7",".",".","."
"Neuroscience","731
001","148","3.706","59.5","22.3","18.2",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Complementry Med-Clin Pract","733
001","12","",".",".",".",".",".",".","",".","",".",".","","100.0",".","",".","",".",".",".","."
"Clin Nutr-Hum Hlth&Disease","734
001","145","3.810","64.8","32.4","2.8",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","16","",".",".",".",".",".",".","",".","",".",".","","100.0",".","",".","",".",".",".","."
"Patient, Doctor & Society II","801
001","151","3.861","78.1","16.6","4.6","0.7",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Patient, Doctor & Society 4","807
001","146","3.942","89.7","8.9","1.4",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"MED SC-M
622","Dept. Total","1662","3.691","55.2","23.0","16.1","2.4","1.1","",".","",".","0.4","",".","1.7","",".","",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","7","4.000","14.3",".",".",".",".","",".","",".",".","",".","85.7","",".","",".",".",".",".","."
"Undergraduates","","8","4.000","25.0",".",".",".",".","",".","",".",".","",".","75.0","",".","",".",".",".",".","."
"Special","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","460","3.714","50.9","25.2","16.5","3.0","1.3","",".","",".","0.7","",".","2.4","",".","",".",".",".",".","."
"Prof Yr 2","","1180","3.679","57.6","22.5","16.1","2.2","1.0","",".","",".",".","",".","0.5","",".","",".","0.1",".",".","."
"Prof Yr 3","","10","3.273","10.0",".","20.0",".",".","",".","",".","30.0","",".","40.0","",".","",".",".",".",".","."
"Prof Yr 4","","2","3.500",".","50.0",".",".",".","",".","",".",".","",".","50.0","",".","",".",".",".",".","."
"Professionals","","1652","3.690","55.4","23.1","16.2","2.4","1.1","",".","",".","0.4","",".","1.3","",".","",".","0.1",".",".","."
"","Dept. Total","1662","3.691","55.2","23.0","16.1","2.4","1.1","",".","",".","0.4","",".","1.7","",".","",".","0.1",".",".","."
