"CLINICAL LABORATORY SCIENC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Intro-Cl Lab Sci Procedures","310
001","23","3.587","43.5","30.4","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin of Clin Lab Instr I","404
001","23","3.652","47.8","34.8","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hemostasis and Coagulation","514
001","23","3.130","8.7","26.1","56.5",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"Clinical Hematology II","516
001","25","3.220","12.0","28.0","56.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Select&Eval-Meas & Contrl Proc","520
001","26","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Chemistry II","526
001","27","3.167","14.8","14.8","63.0","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Lab Diagosis-Infec Disease II","536
001","24","3.104","8.3","16.7","66.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"The Breast","544
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Genitourinary System","545
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Gastrointestinal System","546
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Effusions","547
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Central Nervous System","548
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Miscellaneous Systems","549
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","570
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","570
002","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Diagnostics","Course Total","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Cytology I","573
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
002","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Lab Science Practicum","Course Total","20","3.728","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Clinical Cytogenetics","610
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Issues Seminar","640
001","27","3.870","85.2","3.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"CLNLABSC
628","Dept. Total","252","3.451","41.7","22.6","32.9","0.8","2.0",".",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","36","3.411","36.1","25.0","30.6","2.8","5.6",".",".",".",".",".",".",".",".",".",".","."
"Senior","","214","3.461","43.0","22.4","32.7","0.5","1.4",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","252","3.451","41.7","22.6","32.9","0.8","2.0",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","252","3.451","41.7","22.6","32.9","0.8","2.0",".",".",".",".",".",".",".",".",".",".","."
