"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"426
Intro-Pharm Care Clrkshp II","001","","130","3.969","96.9",".","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Therpeutcs-PAs&Adv Prac Nur,II","001","","30","2.950","20.0","13.3","30.0","16.7","16.7","3.3",".",".",".",".",".",".",".",".",".","."
"448
Team Appr-Emergncy Care","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","003","","39","3.577","25.6","64.1","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","41","3.616","29.3","61.0","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"526
Intro-Phmceut Care Clrk IV","056","","130","3.984","97.7",".","1.5",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"556
Pharmacotherapy II","001","","136","2.941","4.4","20.6","46.3","19.1","8.8",".","0.7",".",".",".",".",".",".",".",".","."
"570
Drug Literature Evaluation","001","","136","3.452","17.6","61.0","16.2","4.4","0.7",".",".",".",".",".",".",".",".",".",".","."
"626
Intro-Phmceut Care Clrk VI","056","","128","3.914","92.2",".","7.0",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"650
Comprehnsv Immunizatn Delivery","001","","42","3.083","19.0","16.7","40.5","14.3","7.1","2.4",".",".",".",".",".",".",".",".",".","."
"656
Pharmacotherapy IV","001","","129","3.194","12.4","38.8","34.1","10.9","2.3",".","1.6",".",".",".",".",".",".",".",".","."
"664","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"664","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"665
Nuclear Pharmacy Clerkship","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"670","001","","23","3.778","65.2","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"670","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Veterinary Therapeutics","Course Total","","25","3.789","68.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"672","001","","16","3.833","68.8","18.8","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"672","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"672","003","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","30","3.854","73.3","16.7","6.7",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"675
Women's Health Pharmacother","001","","10","3.150",".","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","26","3.959","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"710","001","","38","3.553","23.7","65.8","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"710","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geriatric Pharmacotherapy","Course Total","","39","3.551","23.1","66.7","7.7","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"720
Respiratory Pharmacotherapy","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
