"","LANGUAGES & CULTURES OF A Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultures of Asia","100","001","147","3.632","61.2","14.3","16.3","4.8",".",".","1.4","0.7",".",".",".",".",".","1.4",".","."
"Bascom Course","236","001","15","3.500","46.7","26.7","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Civs of India-Classical Per","251","001","20","3.368","10.0","55.0","25.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","67","3.553","37.3","40.3","16.4","3.0","1.5",".",".",".",".",".",".",".","1.5",".",".","."
"Intro to Turkish Folk Lit","279","001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","13","2.923","15.4","23.1","38.5","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","300","002","28","3.065","21.4","32.1","21.4","7.1","10.7","3.6","3.6",".",".",".",".",".",".",".",".","."
"","300","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LCA","","Course Total","44","3.086","25.0","27.3","25.0","6.8","9.1","2.3","4.5",".",".",".",".",".",".",".",".","."
"Classical Indian Literatures","312","001","15","3.643","33.3","53.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Literatures-Muslim Societies","357","001","26","3.327","23.1","38.5","30.8","3.8",".","3.8",".",".",".",".",".",".",".",".",".","."
"Jainism: Relig of Non-Violence","367","001","10","3.550","60.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Urdu Prose Fict-India&Pakistan","373","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Indonesian Literature","401","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Tibetan Buddhism","421","001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","6","3.375","16.7","16.7","33.3",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Lang&Society-Southeast Asia","441","001","20","3.000","50.0",".","25.0","10.0",".",".","15.0",".",".",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458","001","6","3.786","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indian Writers Abroad","524","001","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Gods & Goddesses of South Asia","626","001","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar: Cultures of Asia","630","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Structure of India","634","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar-Central Asian Hist","640","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar:Literatures of Asia","666","001","14","3.308","50.0","14.3","14.3",".","7.1",".","7.1","7.1",".",".",".",".",".",".",".","."
"","699","000A","7","3.889","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","048","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","17","3.902","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Classical Hinduism","718","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","044","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Seminar in Turkic Studies","850","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Hist of India (S Asia)","857","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Topics-Turkish Oral Narr","875","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 244 of 407",""
