"","920
003","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","920
044","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","920
046","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","4","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANESTHES
148","Dept. Total","118","3.761","61.9","34.7","3.4","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 2","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","39","3.763","51.3","48.7",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","78","3.759","66.7","28.2","5.1","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","118","3.761","61.9","34.7","3.4","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","118","3.761","61.9","34.7","3.4","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
