"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"475","001","","73","3.616","61.6","19.2","11.0","2.7","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"475","002","","26","2.918","23.1","15.4","15.4","26.9","15.4",".","3.8",".",".",".",".",".",".",".",".","."
"475","003","","36","3.042","22.2","27.8","8.3","19.4","22.2",".",".",".",".",".",".",".",".",".",".","."
"475","006","","14","3.654","42.9","42.9",".","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"Classical Soc Theory","Course Total","","149","3.356","43.6","22.8","10.1","11.4","9.4","1.3","0.7",".",".",".",".",".","0.7",".",".","."
"496","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"496","001","","14","3.640","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"496","002","","23","3.318","39.1","13.0","21.7","13.0","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"496","003","","21","3.500","38.1","42.9","4.8",".",".",".","4.8","4.8",".",".",".",".",".",".","4.8","."
"496","005","","18","3.750","50.0","33.3","5.6",".",".",".",".",".",".",".",".",".","5.6","5.6",".","."
"496","006","","18","3.000","16.7","33.3","22.2","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","","95","3.423","37.9","31.6","12.6","6.3","4.2",".","2.1","2.1",".",".",".",".","1.1","1.1","1.1","."
"497
Topics-Soc: Study Abroad","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"532
Hlth Care Iss:Ind, Fam, Soc","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"544
Intro to Survey Research","001","","20","3.475","30.0","35.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"577
Blacks in Cities","001","","15","2.800","13.3","20.0","20.0","6.7","40.0",".",".",".",".",".",".",".",".",".",".","."
"578
Rur Minority Grp&Povrty-U S","001","","15","3.174","20.0","40.0","6.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"613
Social Ecol of Amazon Basin","001","","30","3.448","43.3","20.0","20.0","6.7","6.7",".",".","3.3",".",".",".",".",".",".",".","."
"620
Comparative Racial Inequality","001","","30","3.375","20.0","46.7","16.7","13.3",".",".",".",".",".",".",".",".",".",".",".","3.3"
"630
Soc:Devlp Societies/3rd Wld","001","","26","3.715","50.0","42.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"632
Sociology of Organizations","001","","33","3.431","36.4","21.2","21.2","6.1",".","3.0",".","9.1",".",".",".",".","3.0",".",".","."
"634
Social Structure of India","001","","35","3.106","5.7","31.4","40.0","11.4","5.7",".",".","2.9",".",".",".",".","2.9",".",".","."
"645
Modern American Communities","001","","23","2.864","26.1","17.4","8.7","17.4","17.4","4.3","4.3","4.3",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","37","3.608","48.6","29.7","16.2","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"652
Sociol-Economic Institutions","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"676
App Demogrphy-Amer Demgrphy","001","","15","3.567","53.3","33.3",".",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"681","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Senior Thesis","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693
Pract-Analysis & Research","001","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"698","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 305 of 407",""
