"TERM : 1054","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2004-2005","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL PHYSICS","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","","","",""
"MED PHYS
621","Dept. Total","231","3.632","43.7","25.1","9.5","3.0","",".","",".","",".","13.4","",".",".","",".","4.8","",".",".",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","6","3.250",".","50.0","50.0",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","18","3.422","27.8","33.3","27.8","5.6","",".","",".","",".",".","",".",".","",".",".","",".",".",".","5.6"
"Undergraduates","","24","3.386","20.8","37.5","33.3","4.2","",".","",".","",".",".","",".",".","",".",".","",".",".",".","4.2"
"Special","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","205","3.668","46.3","23.9","6.3","2.9","",".","",".","",".","15.1","",".",".","",".","5.4","",".",".",".","."
"","Dept. Total","231","3.632","43.7","25.1","9.5","3.0","",".","",".","",".","13.4","",".",".","",".","4.8","",".",".",".","0.4"
