"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","","175","3.348","27.4","43.4","14.3","6.3","6.3",".","1.7","0.6",".",".",".",".",".",".",".","."
"","401
002","","11","3.811","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
006","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
007","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","","13","3.879","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","","97","3.962","93.8","5.2","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","","26","3.962","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
441","","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
004","","22","3.818","77.3","9.1","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Soc Work II","Course Total","","97","3.938","92.8","2.1","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","","216","3.891","86.1","7.4","5.6","0.5","0.5",".",".",".",".",".",".",".",".",".",".","."
"Small Groups-Soc Work Pract","454
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","","98","3.929","87.8","10.2","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","","25","3.760","64.0","24.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","","51","3.598","49.0","31.4","13.7","2.0","3.9",".",".",".",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","624
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work with Community","626
001","","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","627
001","","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","627
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Affectng Change-Socl Agency","Course Total","","36","3.890","80.6","16.7","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","67","3.918","83.6","16.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work and Adolescents","642
001","","25","3.672","52.0","32.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","52","3.445","44.2","17.3","21.2","5.8","1.9","1.9",".","5.8",".",".",".",".","1.9",".",".","."
"","644
002","","16","3.263","25.0","31.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","","68","3.401","39.7","20.6","20.6","10.3","1.5","1.5",".","4.4",".",".",".",".","1.5",".",".","."
"Child Abuse and Neglect","646
001","","24","3.688","45.8","45.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","","72","3.396","38.9","22.2","26.4","9.7","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","656
001","","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","9","3.250","55.6","11.1","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","674
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","11","3.818","90.9",".",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","699
052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 301 of 407",""
