"NUR","","","","","","","","","","","","","","","","","","","",""
"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Narrative Anal-Nursing Prac","306
001","","10","3.813","50.0","30.0",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Health Assessment","317
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Theoretical Foundations","341
003","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","444
003","","7","3.500","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Special Topics in Nursing","490
022","","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519
001","","9","3.760","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"CNP
691","Dept. Total","","59","3.697","45.8","37.3","10.2",".",".",".",".",".",".",".",".",".","5.1",".",".","1.7"
