"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","179","3.011","15.6","20.1","27.9","21.2","14.0",".",".","1.1",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","25","3.560","36.0","44.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Liability Risk Management","615","001","61","3.305","24.6","26.2","34.4","6.6","4.9",".",".","3.3",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","96","3.181","20.8","25.0","28.1","18.8","4.2","1.0",".","2.1",".",".",".",".",".",".",".","."
"Government Insurance Progs","625","001","12","3.500","58.3",".","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Risk Management","820","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Act Sci,Risk Mgmt & Ins II","930","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","990","039","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","","Course Total","2","***","","","","","","","","","","","","","","","",""
