"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"471
Intro-Environmental Health","001","","42","3.711","59.5","14.3","14.3",".","2.4",".",".","9.5",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","10","3.200","20.0","10.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"650","025","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","029","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","031","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","54","3.931","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"701
Master's Research Seminar","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"703
Qual-Hlth Care:Eval&Assurnc","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"719
Smr-Contemp Iss:Health Care","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"796
Intro-Health Services Research","001","","16","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methodology","001","","27","3.370","29.6","25.9","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"800
Quant Meth-Population Health I","001","","27","3.796","74.1","11.1","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"803
Monitoring Population Health","001","","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"876
Measuring Health Outcomes","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Doctoral Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"913
Clin Chem-Newborn-StateLab","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","Course Total","","39","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"916
Diseas&Injry Epidem-DivHlth","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 373 of 407",""
