"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","162","3.926","92.6","4.9","0.6","1.2",".",".","0.6",".",".",".",".",".",".",".",".","."
"","299
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","4","***","","","","","","","","","","","","","","","",""
"","302
001","97","3.484","23.7","48.5","24.7","1.0",".",".",".",".",".",".",".",".",".","2.1",".","."
"","302
002","13","3.654","46.2","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","302
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","123","3.558","34.1","43.1","19.5","1.6",".",".",".",".",".",".",".",".",".","1.6",".","."
"","310
001","44","3.580","29.5","56.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","Course Total","49","3.571","26.5","61.2","12.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","128","3.430","22.7","45.3","28.1","3.1","0.8",".",".",".",".",".",".",".",".",".",".","."
"","312
002","13","3.231","15.4","23.1","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness II","Course Total","141","3.411","22.0","43.3","30.5","3.5","0.7",".",".",".",".",".",".",".",".",".",".","."
"","319
001","128","3.813","68.8","26.6","3.9",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"","319
002","13","3.500","38.5","53.8",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","Course Total","141","3.784","66.0","29.1","3.5",".","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"","332
001","137","3.580","34.3","48.9","15.3","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","13","3.308","7.7","46.2","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","Course Total","150","3.557","32.0","48.7","18.0","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","401
001","101","3.614","49.5","25.7","22.8","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","Course Total","106","3.590","47.2","26.4","23.6","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001","100","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","Course Total","105","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","35","3.900","82.9","14.3","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
001","62","3.911","85.5","11.3","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","Course Total","67","3.910","85.1","11.9","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primary Health Care-School","470
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in School Nursing","472
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
002","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","590
003","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
004","12","3.409","16.7","41.7","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","590
021","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","59","3.724","54.2","25.4","8.5",".",".",".",".","10.2",".",".",".",".",".","1.7",".","."
"Advanced Assessment","601
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
020","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
021","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 387 of 407",""
