"THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","46","3.822","78.3","10.9","4.3","2.2","2.2",".",".",".",".",".",".",".",".","2.2",".","."
"Health Care: Intrdis Appr","105
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Terminology","148
001","52","3.729","55.8","26.9","7.7",".","1.9",".",".","7.7",".",".",".",".",".",".",".","."
"Adaptatn-Pediatric Disordrs","534
001","17","3.559","35.3","47.1","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Pediatrc Occ Ther","537
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Management","636
001","17","3.618","29.4","64.7","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties II","640
001","17","3.382","11.8","64.7","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Phys Disabilities","641
001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","662
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","662
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork in Mental Health","Course Total","2","***","","","","","","","","","","","","","","","",""
"","664
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","664
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork-Physical Disabil","Course Total","2","***","","","","","","","","","","","","","","","",""
"Special Topics","775
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","799
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"THER SCI
939","Dept. Total","199","3.635","57.3","28.1","7.0","2.0","1.0",".",".","2.0",".","1.5",".",".",".","0.5",".","0.5"
