"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","49","3.479","49.0","10.2","28.6",".","8.2",".",".","4.1",".",".",".",".",".",".",".","."
"414
Pharmacy in Health Care System","001","","131","3.366","29.0","32.8","25.2","9.9","2.3","0.8",".",".",".",".",".",".",".",".",".","."
"490
Select Topics-Soc&Adm Phcy","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511
Pharmacy Law and Regulation","001","","133","3.933","88.0","10.5","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"562
Byzantine Med & Pharmacy","001","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"652
Pharm Communicatn:Edu&Behav","001","","129","3.961","93.8","4.7","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"711
Eval-Pharmceut Serv, Prgm, Pol","001","","7","3.357","28.6","14.3","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"716
Adv Hospital Phm Admin","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"912
Conference-Research Workers","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
