"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"510
Topics in Oncology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Ind Stdy-Hum Cancer Bio","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology-CSC","Course Total","","16","3.917","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"990
Rsch in Human Cancer Bio","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"H ONCOL
480","Dept. Total","","23","3.940","91.3",".",".","4.3",".",".",".",".",".",".",".","4.3",".",".",".","."
