"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"328
Human Anatomy","001","","525","3.144","31.2","19.6","25.9","5.0","11.4","4.2","1.5","0.8","0.2",".",".",".",".",".",".","0.2"
"329","001","","59","3.508","54.2","18.6","16.9","5.1","1.7","1.7","1.7",".",".",".",".",".",".",".",".","."
"329","002","","65","3.608","60.0","23.1","6.2","3.1","6.2","1.5",".",".",".",".",".",".",".",".",".","."
"329","003","","60","3.550","56.7","20.0","15.0",".","6.7",".","1.7",".",".",".",".",".",".",".",".","."
"Human Anatomy-Kinesiology","Course Total","","184","3.557","57.1","20.7","12.5","2.7","4.9","1.1","1.1",".",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","17","2.882","23.5",".","52.9",".","17.6",".","5.9",".",".",".",".",".",".",".",".","."
"611
Systems Neuroscience","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Neuronal Mech-Sensatn & Memory","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"675","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","003","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Anatomy","Course Total","","52","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"722","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinicl Anatomy & Radiology","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
