"PHARMACEUTICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"Advanced Independent Study","999
077","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"PHM SCI
718","Dept. Total","895","3.215","38.9","14.9","24.4","9.4","6.8","0.2","0.1","4.9","",".",".","",".","",".","0.2",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","6","3.368","66.7",".","16.7",".","16.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","49","3.445","61.2","10.2","18.4","4.1","6.1",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","56","3.443","62.5","8.9","17.9","3.6","7.1",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","","2","3.250","50.0",".",".","50.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","140","3.847","59.3","7.1","2.1",".",".",".",".","31.4","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","190","3.065","36.3","16.8","26.8","10.0","9.5","0.5",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","383","3.172","23.8","19.8","33.7","13.8","8.4",".",".",".","",".",".","",".","",".","0.5",".",".","."
"Prof Yr 3","","124","3.262","55.6","8.1","20.2","7.3","5.6","0.8","0.8",".","",".",".","",".","",".",".",".",".","1.6"
"Professionals","","697","3.147","32.9","16.9","29.4","11.6","8.2","0.3","0.1",".","",".",".","",".","",".","0.3",".",".","0.3"
"","Dept. Total","895","3.215","38.9","14.9","24.4","9.4","6.8","0.2","0.1","4.9","",".",".","",".","",".","0.2",".",".","0.2"
