"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"","101","001","122","3.220","22.1","36.9","26.2","4.1","0.8","3.3","3.3","3.3",".",".",".",".",".",".",".","."
"","101","002","134","3.443","23.1","46.3","26.9",".","0.7",".","0.7","2.2",".",".",".",".",".",".",".","."
"Amer Hist to Civil War Era","","Course Total","256","3.337","22.7","41.8","26.6","2.0","0.8","1.6","2.0","2.7",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102","001","317","3.168","12.0","30.0","40.4","9.5","1.3","0.6","1.3","5.0",".",".",".",".",".",".",".","."
"Intro-E Asian History:Japan","104","001","61","3.440","26.2","44.3","19.7",".","3.3","1.6",".","1.6",".",".",".",".",".",".","3.3","."
"Medieval Europe 410-1500","115","001","70","3.517","25.7","48.6","20.0","1.4",".",".",".","2.9",".",".",".",".",".","1.4",".","."
"Modern Europe 1500-1815","119","001","69","2.951","7.2","13.0","49.3","10.1","8.7",".","1.4","8.7",".",".",".",".",".","1.4",".","."
"British Hist: 1688-Present","124","001","133","3.178","15.8","24.8","39.8","12.8","3.0","0.8",".","2.3",".",".",".",".",".",".",".","0.8"
"History-S Asia to Present","142","001","67","3.284","32.8","20.9","28.4","11.9","4.5",".","1.5",".",".",".",".",".",".",".",".","."
"","199","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","200","001","43","3.256","25.6","23.3","32.6","14.0","4.7",".",".",".",".",".",".",".",".",".",".","."
"","223","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","223","001","40","2.975","12.5","20.0","37.5","15.0","12.5","2.5",".",".",".",".",".",".",".",".",".","."
"","223","002","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","223","003","8","2.438",".","12.5","37.5",".","37.5","12.5",".",".",".",".",".",".",".",".",".","."
"","223","004","10","3.438","30.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".","10.0","10.0",".","."
"Exploration-European Hist (H)","","Course Total","66","3.039","13.6","28.8","28.8","9.1","13.6","3.0",".",".",".",".",".",".","1.5","1.5",".","."
"SE Asia:Vietnam to Philipns","244","001","36","3.294","22.2","30.6","36.1","2.8",".",".","2.8",".",".",".",".",".",".",".","5.6","."
"Chicana and Latina History","245","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"American Business History","247","001","67","3.413","26.9","40.3","17.9","7.5",".",".","1.5","6.0",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","18","3.313","16.7","38.9","16.7","16.7",".",".",".","11.1",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","63","3.475","41.3","15.9","33.3","6.3",".",".",".","1.6",".",".",".",".",".",".","1.6","."
"Cen Asia: Silk Route-Afghan","265","001","113","3.446","29.2","46.0","16.8","3.5","1.8","0.9","0.9","0.9",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","43","2.731","7.0","7.0","32.6","18.6","25.6",".",".","7.0",".",".",".",".",".",".","2.3","."
"Intermed Hon Smr-Study Hist(H)","283","001","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"A History of Rome","307","001","232","3.333","27.2","36.2","16.4","6.9","6.0","0.9","0.9","5.6",".",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","18","3.167","22.2","33.3","27.8","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"Peoples Replc China 1949 on","342","001","41","3.614","53.7","29.3","4.9","4.9",".",".","2.4",".",".",".",".",".","2.4","2.4",".","."
"Intro:History-Caribbean Soc","347","001","52","2.910","21.2","28.8","15.4","7.7","11.5","5.8","5.8","1.9",".",".",".",".",".",".","1.9","."
"France from 1799-1914","348","001","68","3.144","1.5","36.8","52.9","5.9",".",".","1.5","1.5",".",".",".",".",".",".",".","."
"Seventeenth-Century Europe","351","001","65","3.082","21.5","26.2","24.6","13.8","7.7","1.5","3.1","1.5",".",".",".",".",".",".",".","."
"Women & Gender in US to 1870","353","001","34","3.522","29.4","32.4","20.6","2.9",".",".",".","14.7",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","84","3.525","36.9","33.3","21.4","6.0",".",".",".","1.2",".",".",".",".","1.2",".",".","."
"The Anglo-Saxons","360","001","10","3.150","20.0","30.0","40.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Modern Britain: 1485-1660","361","001","70","3.100","14.3","28.6","22.9","25.7","4.3","1.4",".","2.9",".",".",".",".",".",".",".","."
"Rev&Natlism-Ireland,1780-On","365","001","72","3.071","13.9","31.9","20.8","20.8","9.7","1.4",".","1.4",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 230 of 408",""
