"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Intro-Pharm Care Clrkshp II","426
001","","128","3.898","89.8",".","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Therpeutcs-PAs&Adv Prac Nur,II","441
001","","36","3.278","30.6","19.4","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Team Appr-Emergncy Care","448
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
001","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
003","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
005","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
006","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","39","3.907","84.6","10.3","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phmceut Care Clrk IV","526
056","","125","3.900","92.8","0.8","4.8",".","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"Pharmacotherapy II","556
001","","121","3.211","8.3","40.5","40.5","9.9",".",".","0.8",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","570
001","","122","3.624","57.4","16.4","20.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","0.8"
"Safety & Quality-Med Use Sys","608
001","","128","3.551","21.9","66.4","11.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phmceut Care Clrk VI","626
056","","122","3.769","79.5",".","16.4",".","3.3",".",".",".",".",".",".",".",".",".",".","0.8"
"Comprehnsv Immunizatn Delivery","650
001","","40","3.375","30.0","30.0","27.5","10.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy IV","656
001","","122","3.111","13.1","32.0","26.2","21.3","7.4",".",".",".",".",".",".",".",".",".",".","."
"","664
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","664
115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Veterinary Therapeutics","670
001","","14","3.940","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","672
001","","23","3.717","73.9","4.3","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","672
003","","8","3.563","62.5",".","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","31","3.677","71.0","3.2","16.1","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
076","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
087","","13","3.952","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","87","3.991","98.9",".","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geriatric Pharmacotherapy","710
001","","23","3.739","47.8","52.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
015","","23","3.886","87.0","4.3",".",".","4.3",".",".",".",".",".",".",".",".",".",".","4.3"
"","740
016","","22","3.932","95.5",".",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","45","3.909","91.1","2.2",".","2.2","2.2",".",".",".",".",".",".",".",".",".",".","2.2"
"","741
005","","22","3.886","86.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","741
006","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","33","3.924","90.9","6.1",".","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","760
005","","74","3.858","85.1","6.8","4.1","2.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"","006
760","","82","3.951","91.5","7.3","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
