"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","110","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","113","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","126","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","131","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","132","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","28","3.464","25.0","42.9","32.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","27","3.481","22.2","51.9","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","28","3.411","21.4","39.3","39.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Surgery","Course Total","","84","3.450","22.6","44.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","4","***","","","","","","","","","","","","","","","",""
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","***","","","","","","","","","","","","","","","",""
"921","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","11","3.833","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clrkshp-St Mary's","Course Total","","3","***","","","","","","","","","","","","","","","",""
"924","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-LaCrosse","Course Total","","2","***","","","","","","","","","","","","","","","",""
"926","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"926","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"926","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 382 of 408",""
