"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","139","2.759","15.8","15.8","16.5","12.9","33.8","3.6",".",".",".",".",".",".",".",".",".","1.4"
"","100","002","136","2.705","13.2","14.7","16.2","19.9","29.4","5.1",".",".",".",".",".",".",".","0.7","0.7","."
"General Anthropology","","Course Total","275","2.732","14.5","15.3","16.4","16.4","31.6","4.4",".",".",".",".",".",".",".","0.4","0.4","0.7"
"Archaeology & Prehist World","102","001","108","2.717","14.8","12.0","25.0","8.3","33.3","2.8","1.9","1.9",".",".",".",".",".",".",".","."
"","104","001","575","3.044","28.2","11.5","33.2","9.4","9.6","5.0","1.7","0.9","0.3",".",".",".",".",".",".","0.2"
"","104","002","576","3.111","29.2","10.8","34.2","9.9","10.2","3.0","0.9","1.7",".",".",".",".",".","0.2",".","."
"Cult Anthro&Human Diversity","","Course Total","1151","3.077","28.7","11.1","33.7","9.6","9.9","4.0","1.3","1.3","0.2",".",".",".",".","0.1",".","0.1"
"Principles - Biological Anthro","105","001","158","2.819","16.5","13.3","27.8","7.0","31.0","1.3","1.3","1.3",".",".",".",".",".",".",".","0.6"
"Principles of Archaeology","112","001","72","2.761","16.7","12.5","22.2","11.1","29.2","1.4","2.8","1.4","1.4",".",".",".",".",".","1.4","."
"Latin America-Introduction","260","001","15","3.357","40.0","13.3","20.0","13.3","6.7",".",".",".",".",".",".",".",".","6.7",".","."
"Africa: Introductory Survey","277","001","12","3.083","16.7","41.7","8.3","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","58","3.129","20.7","29.3","25.9","17.2","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","17","3.529","41.2","47.1","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","11","3.200","36.4",".","36.4",".","18.2",".",".","9.1",".",".",".",".",".",".",".","."
"Heredity,Envr&Human Popultn","304","001","77","3.264","29.9","32.5","16.9","7.8","3.9","2.6","2.6","2.6",".",".",".",".",".","1.3",".","."
"The Origins of Civilization","322","001","99","2.840","24.2","12.1","24.2","9.1","18.2","7.1","3.0","2.0",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","14","3.859","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthro Approach to Folklore","344","001","20","3.425","50.0","25.0","10.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Peoples and Cultures of Russia","346","001","48","3.480","41.7","14.6","29.2","6.3","2.1",".",".","4.2",".",".",".",".",".","2.1",".","."
"Indians-Western Great Lakes","353","001","12","3.417","50.0","8.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Quechua","364","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","36","2.903","27.8","5.6","30.6","13.9","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdy Abroad:Topics-Archaeol","453","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","31","3.871","80.6","12.9","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychological Anthropology","545","001","33","3.500","27.3","33.3","27.3",".",".",".",".","12.1",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","21","3.375","28.6","33.3","23.8",".","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"Cross-Cultrl Spread-Wld Relig","622","001","8","3.893","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthro-Shamanism&Occult Exper","666","001","15","3.714","86.7",".",".",".",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"Primate Conservation","668","001","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","690","001","15","3.904","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Anthropology","","Course Total","29","3.951","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
