"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"421
Intro-Drug Actn&Delivery II","001","","140","2.904","6.4","21.4","38.6","15.0","17.9","0.7",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"490
Selected Topics-Pharm Sci","001","","136","3.967","94.9","3.7","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"491
Selected Topics-Pharm Sci","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"492
Selected Topics-Pharm Sci","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"522
Pharmacology II","001","","134","3.321","31.3","26.1","26.1","11.2","4.5",".","0.7",".",".",".",".",".",".",".",".","."
"532
Medicinal Chemistry II","001","","132","3.138","20.5","15.9","37.1","20.5","4.5",".",".",".",".",".",".",".","0.8",".",".","0.8"
"542
Drug Delivery System Lab II","001","","126","3.016","14.3","17.5","40.5","11.1","14.3","0.8",".",".",".",".",".",".","0.8",".",".","0.8"
"626
Toxicology II","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Substnc Abuse&Chem Dependnc","001","","48","3.010","12.5","14.6","47.9","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"679
Pharmacol & Toxicol Sr Seminar","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Senior Thesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766
Molecular Recognition","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"773
Solids & Powder Technology","001","","6","3.600","16.7","66.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"786
Natrl Prod Synth&Drug Discovry","001","","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
Chem-Biology Interface II","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932
Pharmaceutical Sci Seminar","001","","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","082","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","43","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
