"","922
008","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","922
009","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","922
041","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Radiation Oncology-CSC","Course Total","","11","3.708","45.5","54.5",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"H ONCOL
480","Dept. Total","","17","3.676","41.2","52.9","5.9","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","3","3.571","33.3","33.3","33.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","4","3.667","50.0","25.0","25.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","3.500",".","100.0",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","3.500",".","100.0",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","2","3.500",".","100.0",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","9","3.750","55.6","44.4",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","11","3.708","45.5","54.5",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","17","3.676","41.2","52.9","5.9","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
