"MED","","","","","","","","","","","","","","","","","","",""
"PHYSICIAN ASSISTANT PROGRA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","",""
"Clinical Med-Phy Asst II","401
001","40","3.388","22.5","40.0","30.0","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"Iss Pro Pract for Phy Assts","416
001","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Patnt Eval/Prim Care II","421
001","30","3.517","20.0","66.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Medicine for Phy Asst","440
001","40","3.550","37.5","40.0","17.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Team Appr-Emergncy Care","448
001","31","3.394","22.6","41.9","25.8","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Pro Iss-Phy Assts","516
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Surgery Preceptor","629
001","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
002","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Primry Care Precpt","Course Total","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Internl Med Precpt","001
649","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PHY ASST
750","Dept. Total","270","3.694","57.4","27.8","11.5","3.3",".",".",".",".",".",".",".",".",".",".",".","."
