"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"","699
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","812
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
002","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
005","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","8","3.571","25.0","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"","812
007","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
008","","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
013","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","83","3.677","45.8","42.2","10.8",".",".",".",".",".",".",".",".",".",".",".",".","1.2"
"","919
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","920
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Clin Anesth Clerk-LaCrosse","921
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","930
014","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
015","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
016","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
017","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cardiac Life Supprt (ACLS)","Course Total","","38","3.934","86.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
