"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","073","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"812","061","","20","3.675","40.0","55.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","20","3.603","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","20","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","21","3.548","23.8","61.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","81","3.606","30.9","59.3","9.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"940
Adolescent Med Clerk-CSC","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956
Hematol-Oncology Clerk-CSC","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"990
Research","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PEDIAT
708","Dept. Total","","104","3.622","37.5","51.0","8.7","1.0",".",".",".",".",".",".",".",".","1.0",".",".","1.0"
