"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Directed Study","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Infection and Immunity II","702
001","154","3.610","42.9","40.3","13.0","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Gastrointestinal/Hepatic Sys","707
001","152","3.770","61.8","31.6","5.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Renal","709
001","154","3.153","24.0","15.6","41.6","9.7","7.8",".","1.3",".",".",".",".",".",".",".",".","."
"Male/Female Endocrine Sys","711
001","152","3.697","57.2","28.9","10.5","2.6","0.7",".",".",".",".",".",".",".",".",".",".","."
"Psychiatry:Intro Psychpatholgy","716
001","152","3.730","54.6","38.2","6.6",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"Smr-Contemp Iss:Health Care","719
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psych:Interprsnl&Biopsychosocl","726
001","151","3.891","82.1","14.6","2.6","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology II","727
001","154","3.685","57.1","24.0","17.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Neuroscience","731
001","152","3.888","86.2","5.3","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complementry Med-Clin Pract","733
001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clin Nutr-Hum Hlth&Disease","734
001","152","3.701","57.9","27.6","11.8","2.0","0.7",".",".",".",".",".",".",".",".",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Patient, Doctor & Society II","801
001","152","3.944","89.5","9.9","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patient, Doctor & Society 4","807
001","154","3.834","70.8","26.0","2.6","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"MED SC-M
622","Dept. Total","1720","3.746","60.7","23.3","10.8","2.0","0.9",".","0.1","0.1",".","2.3",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Senior","","5","4.000","20.0",".",".",".",".",".",".",".",".","80.0",".",".",".",".",".","."
"Undergraduates","","5","4.000","20.0",".",".",".",".",".",".",".",".","80.0",".",".",".",".",".","."
"Graduate","","2","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Yr 1","","478","3.889","73.2","16.9","5.0",".","0.2",".",".",".",".","4.6",".",".",".",".",".","."
"Prof Yr 2","","1212","3.673","56.8","26.2","12.7","2.5","1.1",".","0.2",".",".","0.6",".",".",".",".",".","."
"Prof Yr 3","","22","3.034","18.2","9.1","31.8","18.2","4.5",".",".","4.5",".","13.6",".",".",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professionals","","1713","3.746","60.9","23.4","10.8","2.0","0.9",".","0.1","0.1",".","1.9",".",".",".",".",".","."
"","Dept. Total","1720","3.746","60.7","23.3","10.8","2.0","0.9",".","0.1","0.1",".","2.3",".",".",".",".",".","."
