"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","152","3.855","83.6","11.2","3.3","0.7",".","0.7","0.7",".",".",".",".",".",".",".",".","."
"Independent Reading","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","302
001","102","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","138","3.993","98.6","1.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001","68","3.529","30.9","44.1","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","Course Total","92","3.641","46.7","34.8","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","126","3.583","23.8","69.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","23","3.043",".","30.4","47.8","21.7",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness II","Course Total","149","3.500","20.1","63.1","13.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","319
001","124","3.863","82.3","10.5","5.6","0.8","0.8",".",".",".",".",".",".",".",".",".",".","."
"","319
002","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","Course Total","147","3.861","80.3","13.6","4.8","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"","332
001","125","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
332","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","Course Total","149","3.973","95.3","4.0","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
001","123","3.740","64.2","22.0","11.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
401","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","Course Total","147","3.769","68.0","19.7","10.2","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001","123","3.862","79.7","13.0","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","Course Total","147","3.881","82.3","11.6","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","54","3.852","75.9","22.2",".",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"","449
001","63","3.897","84.1","11.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
002","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","Course Total","87","3.902","83.9","12.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","Course Total","5","***","","","","","","","","","","","","","","","",""
"Interdis Perspctvs End-of-Life","522
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
021","24","3.479","33.3","29.2","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
030","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","32","3.531","50.0","21.9","28.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Assessment","601
001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
021","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
030","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
060","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac I","Course Total","29","3.934","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
