"COMMUNICATIVE DISORDERS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"","799","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Prof Iss: Diversity&Multicultr","805","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediatric Audiology","832","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupational Audiology","833","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediat Habilitatn/Rehabilitatn","836","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acoustics & Perception-Speech","847","001","","18","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Geriatric Audiol: Diag & Rehab","849","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Sci II: Adv Topics","851","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems I","856","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab in Amplification Systems I","857","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiolog Assess Audiology I","858","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab-Physiol Assess Aud Sys I","859","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems II","866","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology I","891","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology II","892","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology III","893","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Externship in Audiology","894","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Study in Audiology","","Course Total","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","001","","10","3.962","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","002","","11","3.960","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","900","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Speech Science","","Course Total","","35","3.976","91.4","5.7",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Smr-Prob in Audiology","921","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".","14.3",".",".","."
"","999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","","Course Total","","2","***","","","","","","","","","","","","","","","",""
