"COUNSELING PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","",""
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
"791
Counslng-Community Settings","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"802
Thry&Prac:Grp Work-Cnslrs","001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803
Guid Prog Plan & Management","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"806
Suprvsd Pract-Counseling I","001","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"808","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"808","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Prac-Coun III: Adv","Course Total","","21","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"810
Master Intrshp-Cnslg & Guid","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"865
Thry&Prac-Career Interventn","001","","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"890
Adv Assess Tech-Couns Psych","001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"900","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","002","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"901
Couns Psych Practicum","001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"902
Practicum: Supervision","001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"926
Leg&Ethicl Base-Couns Psych","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Rsch-Indiv Intervention","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"952
Rsch: Group Intervention","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","028","","9","",".",".",".",".",".",".",".","55.6",".",".",".","44.4",".",".",".","."
"990","029","","9","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","49","",".",".",".",".",".",".",".","71.4","2.0",".",".","22.4","4.1",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
