"EDU","","","","","","","","","","","","","","","","","","",""
"OCCUPATIONAL THER (DEPT-KI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Prof Skills II: Communctn-OT","611
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills IV: Commun OT Prac","613
001","20","3.737","65.0","10.0","20.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Infant&Chld Occs&Ther Intrvntn","622
001","25","3.840","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mid&Late Adlt Occs&Thr Intervn","624
001","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk:Infants&Children","625
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk: Mid&Late Adult","627
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Lectures for Occ Therapy","629
001","25","3.720","64.0","16.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fieldwork-Physical Disabil","664
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sci Inquiry in OT II: Methods","672
001","24","3.500","8.3","79.2","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Sci Inquiry-OT IV: Sci Writing","674
001","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"OCC THER
695","Dept. Total","197","3.789","70.6","20.8","7.1",".",".",".",".","0.5",".","0.5",".",".","0.5",".",".","."
