"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","239","2.937","25.1","15.1","24.3","13.4","13.8","5.4","2.5","0.4",".",".",".",".",".",".",".","."
"Speech Science","201","001","67","3.881","85.1","9.0","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210","001","72","3.681","65.3","20.8","6.9","1.4","4.2","1.4",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","109","3.335","55.0","9.2","9.2","6.4","12.8","2.8","1.8","1.8",".",".",".",".","0.9",".",".","."
"Speech Pathology II","318","001","70","3.355","17.1","50.0","22.9","2.9","5.7",".",".",".",".",".",".",".",".",".",".","1.4"
"Introduction to Audiology","320","001","78","3.714","64.1","20.5","7.7","5.1","1.3",".",".",".",".",".",".",".",".",".",".","1.3"
"PreClin Obs-Chldrn & Adults","371","001","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","75","3.487","38.7","32.0","22.7","4.0","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Manual Coded English-SL II","434","001","23","3.795","65.2","21.7","8.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","93","3.375","39.8","15.1","30.1","9.7","3.2","1.1",".",".",".",".",".",".",".",".",".","1.1"
"Topics in Com Dis","455","012","19","3.795","78.9","5.3","5.3",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","699","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","13","3.684","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","26","3.773","80.8","7.7","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Cogntv-Com Dis in Adults","704","001","28","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Speech Disord/Communictn","705","001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","706","001","28","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Probs-Schl Age Chldrn","709","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone: Com Dis-Ped Populatn","750","001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone: Com Dis in Adults","752","001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","11","3.833","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","45","3.896","84.4","13.3","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 190 of 408",""
