"RISK MANAGEMENT AND INSUR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"300
Principles-Risk Management","001","","265","2.964","20.4","14.7","34.0","11.3","14.3","4.5","0.8",".",".",".",".",".",".",".",".","."
"615
Liability Risk Management","001","","47","3.702","51.1","42.6","2.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"620
Employee Benefits Managemnt","001","","105","3.157","21.9","15.2","50.5","4.8","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"650
Sustainbl, Envir&Soc Risk Mgmt","001","","38","3.568","42.1","31.6","21.1",".","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"799
Rdg & Rsch-Risk Management","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Smr-Risk Managemnt&Insuranc","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","Course Total","","2","***","","","","","","","","","","","","","","","",""
