"","760
155","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","162","3.907","88.3","7.4","2.5","1.2","0.6","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","8","3.938","87.5","12.5",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Advanced Independent Study","999
028","8","4.000","100.0",".",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"PHM PRAC
728","Dept. Total","1400","3.672","62.1","17.7","14.1","4.0","1.6","",".","0.1","",".","",".",".","",".","",".","",".",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","37","3.256","29.7","18.9","35.1","8.1","8.1","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","38","3.293","31.6","18.4","34.2","7.9","7.9","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","3","3.875","66.7","33.3",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","26","3.728","73.1","19.2","7.7",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","174","3.882","90.8","0.6","8.0","0.6",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","380","3.474","56.1","18.4","20.8","3.4","1.1","",".","0.3","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","541","3.438","46.8","27.7","15.9","6.5","2.6","",".","0.2","",".","",".",".","",".","",".","",".",".",".","0.4"
"Prof Yr 4","","238","3.911","89.5","5.9","1.7","1.7","0.8","",".",".","",".","",".",".","",".","",".","",".",".",".","0.4"
"Professionals","","1333","3.675","62.8","17.6","13.7","4.0","1.5","",".","0.2","",".","",".",".","",".","",".","",".",".",".","0.2"
"","Dept. Total","1400","3.672","62.1","17.7","14.1","4.0","1.6","",".","0.1","",".","",".",".","",".","",".","",".",".",".","0.2"
