"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"350
Parasitology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","15","3.333","20.0","53.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"514
Veterinary Parasitology","001","","78","3.410","42.3","11.5","35.9","6.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"515
Reg Vet Med & Public Health","001","","70","3.886","77.1","22.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"518
Infctious Disease Pathobiol","001","","78","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"561
Veterinary Systemic Path II","001","","78","3.115","16.7","25.6","32.1","17.9","6.4","1.3",".",".",".",".",".",".",".",".",".","."
"562
Veterinary Clinic Pathology","001","","78","3.474","30.8","35.9","30.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
Special Topics","002","","35","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","9","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"699","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","25","4.000","64.0",".",".",".",".",".",".","36.0",".",".",".",".",".",".",".","."
"750
Vertebrate Viral Disease","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Veterinary Sci Tchg","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","7","3.833","28.6","14.3",".",".",".",".",".",".",".",".",".","57.1",".",".",".","."
"930","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
