"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"","699
039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
041","","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
042","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
043","","14","3.536","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
044","","15","3.633","26.7","73.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
045","","15","3.400","13.3","60.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","812
046","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","81","3.531","24.7","58.0","16.0","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","910
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","922
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SpecAdultPsychClerk-Mendota","923
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","924
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","924
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","924
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-Mendota","Course Total","","3","***","","","","","","","","","","","","","","","",""
