"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"","120
001","340","3.420","37.1","31.2","20.9","4.7","2.4","1.5","1.2","0.9",".",".",".",".",".",".",".","0.3"
"","120
003","21","3.119","23.8","28.6","23.8","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","004
120","16","3.625","43.8","43.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Marriage and Family","Course Total","377","3.413","36.6","31.6","20.4","5.3","2.4","1.3","1.3","0.8",".",".",".",".",".",".",".","0.3"
"Criminal Justice in America","131
002","210","2.878","15.2","15.7","26.7","21.9","17.1","1.4","1.4",".",".",".",".",".",".",".",".","0.5"
"","134
001","397","3.112","6.5","32.0","42.1","14.4","4.3",".",".","0.8",".",".",".",".",".",".",".","."
"","134
055","102","3.429","51.0","10.8","19.6","6.9","4.9","2.0","1.0","2.9",".",".",".",".",".","1.0",".","."
"","134
066","100","3.546","60.0","12.0","17.0","3.0","2.0","3.0","1.0","1.0",".",".",".",".",".","1.0",".","."
"Am Racial&Ethnic Minorities","Course Total","599","3.214","23.0","25.0","34.1","11.2","4.0","0.8","0.3","1.2",".",".",".",".",".","0.3",".","."
"Intro-Rural Sociol&Development","140
001","22","3.273","40.9","31.8","4.5","4.5","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","173","3.076","29.5","16.2","24.3","10.4","11.6","5.8","0.6","1.7",".",".",".",".",".",".",".","."
"","198
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","199
016","35","3.739","94.3",".",".",".",".",".","5.7",".",".",".",".",".",".",".",".","."
"","199
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
056","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
066","13","3.750","69.2","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","53","3.734","86.8","1.9","3.8","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200
001","72","3.114","22.2","33.3","15.3","16.7","4.2","1.4","4.2","1.4",".",".",".",".",".","1.4",".","."
"Survey of Sociology","210
001","97","3.356","22.7","40.2","26.8","6.2","4.1",".",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","88","3.368","35.2","23.9","30.7","1.1","6.8",".","1.1",".",".",".",".",".","1.1",".",".","."
"Gender & Work-Rural America","215
001","49","2.615","6.1","20.4","20.4","22.4","18.4","6.1","4.1",".",".",".",".",".","2.0",".",".","."
"Ethnic Movements in U.S.","220
001","135","3.430","30.4","42.2","14.8","9.6","2.2","0.7",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","14","3.179","14.3","21.4","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","16","3.563","50.0","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","29","2.385","13.8","13.8","6.9","13.8","20.7","13.8","6.9","6.9",".",".",".",".",".","3.4",".","."
"","357
001","24","2.938","20.8","4.2","41.7","16.7","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"","357
002","18","3.333","22.2","50.0","11.1","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","357
003","20","3.475","50.0","15.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","357
004","15","3.333","13.3","46.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","357
005","16","3.469","37.5","31.3","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","357
007","18","3.083","33.3","16.7","27.8",".","16.7",".","5.6",".",".",".",".",".",".",".",".","."
"","357
008","16","2.938","18.8","18.8","12.5","31.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"","357
009","19","3.474","31.6","42.1","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","357
010","25","3.292","44.0","24.0","12.0",".","4.0","12.0",".",".",".",".",".",".",".",".",".","4.0"
"","357
011","20","3.350","30.0","30.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","191","3.263","30.9","26.7","22.5","8.9","7.9","2.1","0.5",".",".",".",".",".",".",".",".","0.5"
"","360
001","34","3.235","20.6","38.2","26.5","8.8","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","360
002","35","3.143","25.7","25.7","31.4","8.6",".","5.7","2.9",".",".",".",".",".",".",".",".","."
"","360
003","30","3.250","43.3","10.0","20.0","13.3","10.0","3.3",".",".",".",".",".",".",".",".",".","."
