"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"915","001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","Course Total","","28","3.839","82.1","3.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"916","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diseas&Injry Epidem-DivHlth","Course Total","","2","***","","","","","","","","","","","","","","","",""
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","35","",".",".",".",".",".",".",".","94.3",".",".",".","5.7",".",".",".","."
