"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"375
Concepts&Methods-Pop Hlth Sci","001","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"380
Contemp Populatn Probs-Honors","001","","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"471
Intro-Environmental Health","001","","82","3.481","34.1","29.3","30.5","3.7",".",".",".","2.4",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","18","3.028","27.8","5.6","38.9",".","27.8",".",".",".",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Foundations-Global Hlth Pract","001","","18","3.971","88.9","5.6",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"650","029","","8","3.750","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","030","","26","3.788","76.9","7.7","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"650","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"650","033","","36","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","40","3.974","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","039","","36","3.861","75.0","22.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","040","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","042","","79","3.728","49.4","46.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","044","","18","3.944","66.7","11.1",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"650","045","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"650","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"650","048","","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"650","050","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","249","3.830","70.7","22.5","3.6","0.8",".",".",".",".",".",".",".",".","2.4",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","14","4.000","85.7",".",".",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"717
Prin-Population Med&Epidemiol","001","","151","3.747","64.9","21.2","11.3","1.3","0.7",".",".","0.7",".",".",".",".",".",".",".","."
"719
Smr-Contemp Iss:Health Care","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"740
Hlth Impact of Global Envr Chg","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"791
Physical Activity Epidemiology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"796
Intro-Health Services Research","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methodology","001","","28","3.286","35.7","25.0","25.0","3.6","3.6","7.1",".",".",".",".",".",".",".",".",".","."
"800
Quant Meth-Population Health I","001","","23","3.652","52.2","26.1","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"803
Monitoring Population Health","001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"876
Measuring Health Outcomes","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"904
Special Topics-Epidemiology","002","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"911
Epidemiol Elect-Div of Hlth","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 373 of 408",""
