"CLINICAL LABORATORY SCIENC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Intro-Cl Lab Sci Procedures","310
001","21","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin of Clin Lab Instr I","404
001","21","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hemostasis and Coagulation","514
001","22","3.636","50.0","27.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Hematology II","516
001","18","3.444","38.9","33.3","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Select&Eval-Meas & Contrl Proc","520
001","19","3.447","31.6","36.8","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Clinical Chemistry II","526
001","20","3.375","30.0","20.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Diagosis-Infec Disease II","536
001","24","3.521","37.5","29.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Breast","544
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Genitourinary System","545
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Gastrointestinal System","546
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Effusions","547
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Central Nervous System","548
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Miscellaneous Systems","549
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","570
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","570
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Diagnostics","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Cytology I","573
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
002","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Lab Science Practicum","Course Total","17","3.833","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Issues Seminar","001
640","21","3.500","61.9","4.8","19.0",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"CLNLABSC
628","Dept. Total","216","3.591","51.4","24.1","20.8","1.4","2.3",".",".",".",".",".",".",".",".",".",".","."
