"SURGICAL SCIENCES","Section","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Veterinary Ophthalmology","542
001","","97","3.789","67.0","","23.7","","9.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Fundamentals Anesthesiology I","543
001","","92","3.918","88.0","","7.6","","4.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Surgery Fundamentals","544
001","","92","3.935","89.1","","8.7","","2.2",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Fundamentals Anesthesiology II","545
001","","97","3.716","64.9","","21.6","","8.2","2.1","","3.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Large Animal Surgery","631
001","","97","3.129","9.3","","33.0","","39.2","11.3","","7.2","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Small Animal Surgery Lab","632
001","","97","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Small Animal Anesthesia Lab","634
001","","97","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","642
001","","40","4.000","7.5","",".","",".",".","",".","",".","",".","92.5","",".",".","",".","",".","",".",".",".","."
"","642
002","","2","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Large Animal Surgery","Course Total","","42","4.000","7.1","",".","",".",".","",".","",".","",".","92.9","",".",".","",".","",".","",".",".",".","."
"Small Orthopedic Surgery","644
001","","28","4.000","46.4","",".","",".",".","",".","",".","",".","53.6","",".",".","",".","",".","",".",".",".","."
"","645
001","","39","4.000","79.5","",".","",".",".","",".","",".","",".","20.5","",".",".","",".","",".","",".",".",".","."
"","645
002","","1","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","40","4.000","80.0","",".","",".",".","",".","",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
"Veterinary Anesthesiology","646
001","","29","4.000","37.9","",".","",".",".","",".","",".","",".","62.1","",".",".","",".","",".","",".",".",".","."
"Radiology Clinics","647
001","","29","4.000","34.5","",".","",".",".","",".","",".","",".","65.5","",".",".","",".","",".","",".",".",".","."
"","675
001","","10","4.000","90.0","",".","",".",".","",".","",".","",".","10.0","",".",".","",".","",".","",".",".",".","."
"","675
004","","9","4.000","66.7","",".","",".",".","",".","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"","675
005","","4","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","675
006","","4","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","675
007","","5","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","675
016","","1","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","675
020","","3","4.000","33.3","",".","",".",".","",".","",".","",".","66.7","",".",".","",".","",".","",".",".",".","."
"","675
021","","4","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","675
023","","10","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","675
026","","18","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","675
027","","30","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Special Topics","Course Total","","98","4.000","29.6","",".","",".",".","",".","",".","",".","70.4","",".",".","",".","",".","",".",".",".","."
"Special Species Health","676
001","","97","3.830","80.4","","7.2","","10.3","2.1","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Vet Dentistry Elective","677
001","","49","4.000","91.8","",".","",".",".","",".","",".","",".","8.2","",".",".","",".","",".","",".",".",".","."
"","699
031","","5","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
039","","1","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
041","","1","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","699
048","","1","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
103","","1","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
104","","1","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
110","","1","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
123","","1","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
127","","1","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
133","","2","4.000","50.0","",".","",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Directed Study","Course Total","","15","4.000","86.7","",".","",".",".","",".","",".","",".","13.3","",".",".","",".","",".","",".",".",".","."
"Clinical Ophthalm Rotation","741
001","","27","4.000","59.3","",".","",".",".","",".","",".","",".","40.7","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 451 of 454",""
