"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURGICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adv Anesthlgy/Crit Care Med","743
001","9","4.000","88.9",".",".",".",".","",".","",".","11.1","",".",".","",".","",".","",".",".",".","."
"Restrnt/Anesth Exotic Anmls","744
001","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Food Animal Surgery","746
001","13","4.000","23.1",".",".",".",".","",".","",".","76.9","",".",".","",".","",".","",".",".",".","."
"Dentistry & Oral Surg Rotation","748
001","21","4.000","95.2",".",".",".",".","",".","",".","4.8","",".",".","",".","",".","",".",".",".","."
"Sm Animal Ultrasound Elective","750
001","18","4.000","50.0",".",".",".",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"","775
001","22","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","775
002","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","775
003","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Externship","Course Total","26","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"SURG SCI
938","Dept. Total","1217","3.733","49.1","8.1","5.8","1.2","0.8","",".","",".","35.0","",".",".","",".","",".","",".",".",".","."
