"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stem Cell Bioengineering","520
001","","41","3.927","85.4","14.6","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Medical Imaging Systems","530
001","","9","3.722","55.6","33.3","","11.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Engr Extracellular Matrices","545
001","","37","3.703","62.2","24.3","","8.1","2.7","","2.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Systems Biology: Mamm Sign Net","556
001","","20","3.475","30.0","35.0","","35.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564
001","","20","3.750","60.0","30.0","","10.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Physics of Radiotherapy","566
001","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Magnetc Resonance Imag(MRI)","568
001","","1","3.500",".","100.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Imaging in Medicine: Apps","574
001","","1","3.500",".","100.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"NonIonizing Diagnostic Imaging","578
001","","3","3.500","33.3","33.3","","33.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","601
005","","2","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","601
006","","3","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","5","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","602
001","","20","3.750","50.0","50.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","602
002","","7","3.786","57.1","42.9","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","602
003","","26","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","602
004","","9","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","62","3.895","79.0","21.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Topics-Bio-Medical Engr","603
001","","14","3.750","64.3","21.4","","14.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dsgn & Hum Disablty & Aging","662
001","","19","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","790
004","","3","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
005","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
031","","1","",".",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","","",".",".",".","."
"","790
034","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
089","","1","",".",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","","",".",".",".","."
"","790
093","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
101","","2","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
118","","2","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","790
141","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Master's Research & Thesis","Course Total","","13","",".",".","",".",".","",".","",".","",".","84.6","","",".",".","",".","15.4","","",".",".",".","."
"","799
020","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","799
034","","4","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","799
047","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","799
048","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","799
073","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","799
096","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","799
101","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","799
110","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","799
118","","2","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","799
119","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Independent Study","Course Total","","14","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","890
004","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","890
005","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
