"GENDER AND WOMENS STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","11","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
"Gender, Women & Cultural Rep","101","001","238","3.662","51.3","39.1","6.3","1.7",".","1.3","0.4",".","",".",".","",".","",".",".",".",".","."
"","103","001","398","3.783","72.9","17.6","5.5","1.5","2.0",".","0.3",".","",".",".","",".","",".","0.3",".",".","."
"","103","002","19","3.789","84.2","10.5",".",".",".","5.3",".",".","",".",".","",".","",".",".",".",".","."
"Gender Women Bodies and","","Course Total","417","3.784","73.4","17.3","5.3","1.4","1.9","0.2","0.2",".","",".",".","",".","",".","0.2",".",".","."
"Intro to LGBTQ+ Studies","200","001","76","3.316","51.3","15.8","10.5","10.5","5.3","2.6","3.9",".","",".",".","",".","",".",".",".",".","."
"Women in Ethnic Amer Lit","248","001","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Artistc/Cult Image-Bl Women","267","001","33","3.875","78.8","12.1","6.1",".",".",".",".",".","",".",".","",".","",".","3.0",".",".","."
"","320","001","40","3.833","72.5","17.5","7.5",".",".",".",".","2.5","",".",".","",".","",".",".",".",".","."
"","320","003","30","3.397","36.7","36.7","6.7","6.7","6.7","3.3",".",".","",".",".","",".","",".","3.3",".",".","."
"Topics-Gender, Women & Society","","Course Total","70","3.647","57.1","25.7","7.1","2.9","2.9","1.4",".","1.4","",".",".","",".","",".","1.4",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","20","2.975","25.0","20.0","15.0","25.0","10.0",".","5.0",".","",".",".","",".","",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","39","3.797","76.9","12.8","2.6",".",".",".","2.6",".","",".",".","",".","",".","2.6",".","2.6","."
"Bi/Pan/Asexuality","344","001","45","3.784","80.0","11.1","2.2",".","2.2",".","2.2","2.2","",".",".","",".","",".",".",".",".","."
"Topics in Gender & Literature","350","001","25","4.000","92.0",".",".",".",".",".",".",".","",".",".","",".","",".","8.0",".",".","."
"Sex and Power","361","001","46","3.500","54.3","21.7","8.7","6.5","2.2","2.2","2.2",".","",".",".","",".","",".","2.2",".",".","."
"Disability, Gender & Sexuality","374","001","20","4.000","95.0",".",".",".",".",".",".","5.0","",".",".","",".","",".",".",".",".","."
"Women Modern Europe","392","001","13","3.462","61.5",".","30.8",".",".","7.7",".",".","",".",".","",".","",".",".",".",".","."
"Gender Sexuality & the Media","418","001","18","3.611","77.8","5.6","5.6","5.6",".",".","5.6",".","",".",".","",".","",".",".",".",".","."
"The Female Body in the World","423","001","38","3.789","78.9","13.2",".","2.6","5.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Crime, Gender and Justice","425","001","23","3.659","52.2","30.4","8.7",".","4.3",".",".",".","",".",".","",".","",".","4.3",".",".","."
"Politics Gender Rights MidEast","435","001","10","3.778","60.0","20.0","10.0",".",".",".",".",".","",".",".","",".","",".",".",".","10.0","."
"Anthropology by Women","443","001","14","3.423","21.4","35.7","35.7",".",".",".",".","7.1","",".",".","",".","",".",".",".",".","."
"","449","001","39","4.000","97.4",".",".",".",".",".",".",".","",".",".","",".","",".","2.6",".",".","."
"","449","002","31","3.983","93.5","3.2",".",".",".",".",".",".","",".",".","",".","",".","3.2",".",".","."
"Topics in Feminist Theory","","Course Total","70","3.993","95.7","1.4",".",".",".",".",".",".","",".",".","",".","",".","2.9",".",".","."
"Brazillian Women Writers","450","001","14","3.909","64.3","14.3",".",".",".",".",".",".","",".",".","",".","",".","14.3","7.1",".","."
"Framing Fatness","523","001","40","3.913","82.5","17.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","533","001","37","3.838","81.1","10.8","2.7","5.4",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","533","002","36","3.971","91.7","5.6",".",".",".",".",".",".","",".",".","",".","",".","2.8",".",".","."
"Topics: Gender & Biology","","Course Total","73","3.903","86.3","8.2","1.4","2.7",".",".",".",".","",".",".","",".","",".","1.4",".",".","."
"Women's Global Health","535","001","42","3.875","81.0","9.5","2.4",".","2.4",".",".",".","",".",".","",".","",".","2.4",".","2.4","."
"Childbirth in the US","537","001","26","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Fem Theories and Masculinities","546","001","9","3.833","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Gender and Education","560","001","17","3.971","94.1","5.9",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Gender, Race&Civil Rgts Mvmnt","625","001","6","3.083","33.3",".","33.3","16.7","16.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Capstone Smr in Gender & Wm St","640","001","16","4.000","93.8",".",".",".",".",".",".",".","",".",".","",".","",".","6.3",".",".","."
"Internship-Gender&Women's Std","660","001","10","3.950","90.0","10.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
