"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","24","3.521","58.3","20.8","","8.3","8.3","",".","",".","","4.2","",".","",".",".","",".","",".","",".",".",".","."
"Soc Behav Aspects","414
001","","131","3.651","45.0","41.2","","9.2","3.1","",".","",".","",".","",".","",".",".","",".","",".","","1.5",".",".","."
"Pharmacy Management","514
001","","97","3.789","67.0","24.7","","7.2","1.0","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Pharmacy Law and Regulation","611
001","","123","3.455","36.6","30.1","","22.8","8.9","","1.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Pharm Communicatn:Edu&Behav","652
001","","123","3.878","77.2","21.1","","1.6",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
024","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
025","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
081","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
093","","2","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","699
094","","5","3.786","80.0","20.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Independent Study","Course Total","","10","3.893","90.0","10.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"D&I and Sustain of Org Change","704
001","","10","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Soc Behav Theories in Pharm","715
001","","9","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Adv Hospital Phm Admin","716
001","","4","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","990
024","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","990
025","","2","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","990
065","","3","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","990
079","","2","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","990
081","","2","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","990
094","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Research","Course Total","","11","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","999
025","","4","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","999
065","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","999
094","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Independent Study","Course Total","","6","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
