"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Principles of Risk Management","300
001","189","3.064","31.7","10.1","28.0","10.1","","13.8","","5.8","",".","",".","",".",".","",".","",".","","0.5",".",".","."
"","365
001","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","365
003","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","12","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Captive Insurance","635
001","11","3.773","54.5","45.5",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Mgt-Insurance Enterprise","640
001","40","3.688","60.0","20.0","17.5","2.5","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","660
001","72","3.840","79.2","12.5","5.6","2.8","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","660
002","77","3.812","72.7","18.2","7.8","1.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Risk Analytics & Behav Science","Course Total","149","3.826","75.8","15.4","6.7","2.0","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","670
001","30","3.383","36.7","10.0","46.7","6.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","670
022","1","3.000",".",".","100.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Cyber Risk & Regulations","Course Total","31","3.371","35.5","9.7","48.4","6.5","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","875
001","5","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","875
022","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Smr-Risk Managemnt&Insuranc","Course Total","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","990
021","2","",".",".",".",".","",".","",".","",".","","50.0","",".",".","",".","50.0","","",".",".",".","."
"","990
022","1","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","100.0","","",".",".",".","."
"","990
027","2","",".",".",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","5","",".",".",".",".","",".","",".","",".","60.0","","",".",".","",".","40.0","","",".",".",".","."
"","999
021","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","999
022","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","Course Total","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
